,Title,WorkTime,Pros,Cons,Work/Life Balance,Culture & Values,Career Opportunities,Compensation & Benefits,Senior Management
658,"""Too much corporate""",I worked at HP Inc. full-time for more than a year,Good place to work but still too much like a typical corporation,Even in its later years HP used to price itself as having a startup / team culture.  Not so much when I worked there,,,,,
659,"""W""",I have been working at HP Inc. ,"Flexible, family friendly, good culture","Low salary, no prospects of rising in ranks",5.0,4.0,2.0,2.0,3.0
660,"""HP rockets straight to the middle and expects the same from you""",I have been working at HP Inc. full-time for more than a year,"If you are less experienced, it is a great place to up your skills and make a decent wage. There are average to good benefits. The people are all pretty great.","They don't pay unfairly, as in the better performers are not rewarded, so they tend to hemorrhage the all star players. This can be good for those early in their career though.",5.0,4.0,2.0,3.0,4.0
661,"""Great work life balance""",I have been working at HP Inc. ,Nice people and great culture,Slow process to get things done,,,,,
662,"""Greatly miss-managed company""",I worked at HP Inc. full-time for more than 10 years,Work life balance is good,The wisdom and competence from the upper management is appalling,3.0,1.0,2.0,1.0,1.0
663,"""Good""",I worked at HP Inc. full-time for more than 5 years,"Good Work Life Balance,  relaxed work",Not Enough Pay according to market,,,,,
664,"""Pricing Specialist""",I worked at HP Inc.  for more than 3 years,Best place to work. HP will bring  not only quality in your career but also in your personality.,Many processes & job levels,5.0,5.0,4.0,4.0,5.0
665,"""Scrum Master""",I have been working at HP Inc. full-time for more than 3 years,"good work life balance, relaxed environment",mismatch of people with their jobs,5.0,3.0,2.0,2.0,3.0
666,"""hidden upside""",I worked at HP Inc. full-time,"There's a strong leadership team in place.
Given the company size, there are global opportunities for any individual.
Best of company culture still at the core of HP Inc","The size of the company, even separated from HPE,  can work against you if you're not active about seeking opportunities.",4.0,4.0,4.0,4.0,5.0
667,"""Executive Sales""",I worked at HP Inc. full-time for more than 10 years,"Working with a leading edge technology company, representing their full product portfolio, encompass a large market place.",Huge company with the acquisitions and company changes sometimes created difficult resources to be accessed when needed.,5.0,5.0,5.0,5.0,5.0
668,"""Operational Account Management Advanced II""",I have been working at HP Inc. full-time for more than a year,"Flexibility, culture, location, management, work ethic","Global outsourcing, global time zone differences",5.0,5.0,5.0,5.0,5.0
669,"""Overall a great growth opportunity!""",I have been working at HP Inc.  for more than 5 years,Large and diverse company with a variety of different role and advancement opportunities for those eligible to apply internally and externally.,Cost saving measures in recent years have led to a seemingly unstable work environment which sometimes has an effect on morale within the team.,2.0,3.0,4.0,4.0,3.0
670,"""Comfortable place to work, good for the PNW vibe""",I worked at HP Inc. full-time for more than 3 years,"This is an ideal place to work if you have a young family
Resonable Work/life balance - I rarely feel overworked
Friendly, laid-back coworkers
Reasonable Pay
Developing some new technologies and fairly interesting work
I've never liked printers but I've discovered they have many intriguing design puzzles/challenges","This isn't really a con, but this job is almost TOO comfortable- few people have strong passion and need to create exciting new technologies like you'd expect in Silicon Valley",5.0,4.0,4.0,4.0,4.0
671,"""director""",I worked at HP Inc. full-time for more than 3 years,Great people. Solid bench strength,Too big. Sometimes slow in decision making,5.0,1.0,1.0,2.0,1.0
672,"""Software Engineer""",I have been working at HP Inc. full-time for more than 10 years,"Good pay, great benefits, reasonable tuition reimbursement",Declining market with rolling layoffs,3.0,5.0,1.0,4.0,1.0
673,"""Research Analyst""",I worked at HP Inc. full-time for more than 10 years,"- brilliant peers
- world class processes",- upper mgmt not promoted from within,4.0,5.0,4.0,5.0,1.0
674,"""Pretty good place to work""",I worked at HP Inc. full-time for more than 5 years,"People I've worked with respect one another, and simply want to contribute and get good work completed. The company has reasonable standards and expectations for it's employees, and they are  flexible  when it comes to a work/life balance.","HP Inc is struggling in an industry that isn't as profitable as in the past. And it's hard for me to imagine what industrial impact HP will have in 10 years. I really wish them the best, and I hope they find their innovative spirit.",5.0,5.0,1.0,3.0,3.0
675,"""Human Resources Specialist""",I have been working at HP Inc. full-time,"Young and dynamic company, lots of things to learn from regional /global teams, not only working locally but globally. Increasing vision and potantial.","location, absence of in-class trainings, they tried to be handled globally via online platforms but not effective.",5.0,5.0,4.0,4.0,4.0
676,"""Great company, it's a pity they're shutting down""",I have been working at HP Inc. full-time for more than 10 years,Work life balance is excellent,It's a pity the company is shutting down,5.0,3.0,3.0,5.0,1.0
677,"""Tough to stay motivated""",I have been working at HP Inc. full-time for more than 8 years,"Some great colleagues and first line managers
Some cool technology
Competitive pay and benefits
Opportunity to learn new skills
Great brand recognition and reputation (although this is dwindling)","- Executive management seems to have little concern for rank and file.
- Too many internal fire drills takes focus away from customers and they have noticed.
- Mature / declining markets make up 95% of sales - how much longer can the company survive in its current form by simply taking more share of a shrinking pie?",4.0,2.0,2.0,3.0,1.0
678,"""Good Company Could be Better""",I have been working at HP Inc. full-time for more than 8 years,"Good Salary and benefits.
Ability to work from home with some positions.","Corporate Dinosaur needs a face-lift.
Outdated processes and policies need improvement.",2.0,4.0,4.0,4.0,3.0
679,"""Strategist""",I worked at HP Inc. full-time for more than 10 years,Great opportunity to work at a strategic level.,Instability in company leadership reduced progress.,4.0,4.0,4.0,3.0,2.0
680,"""Too many bad managers""",I worked at HP Inc. full-time,Flexible hours. Important if work-life balance is important to you.,Some HP org has too many bad managers.,5.0,3.0,3.0,3.0,3.0
681,"""Program Manager""",I worked at HP Inc. full-time,Good salary and used to be entrepreneural,Ruined HP Way and no idea how to move past printing,4.0,2.0,2.0,4.0,1.0
